block	85	bounds	0.375000-0.625000,0.000000-1.000000,0.375000-0.625000
item	11520	id	11520
item	11520	gid	weaponmod/item.wood-spear
item	11520	itemStackLimit	1
item	11520	hasSubtypes	false
item	11520	maxDamage	59
item	11520	isDamageable	true
item	11520	localizedName	item.wood-spear
item	11520	unlocalizedName	item.wood-spear
item	11520	hasContainerItem	false
item	11520	statName	item.wood-spear.name
item	11520	isMap	false
item	11520	itemUseAction	none
item	11520	maxItemUseDuration	72000
item	11520	potionEffect	null
item	11520	isPotionIngredient	false
item	11520	itemDisplayName	
item	11520	isItemTool	true
item	11520	enchantability	15
item	11520	isRepairable	true
item	11520	isItemBlock	false
item	11521	id	11521
item	11521	gid	weaponmod/item.stone-spear
item	11521	itemStackLimit	1
item	11521	hasSubtypes	false
item	11521	maxDamage	131
item	11521	isDamageable	true
item	11521	localizedName	item.stone-spear
item	11521	unlocalizedName	item.stone-spear
item	11521	hasContainerItem	false
item	11521	statName	item.stone-spear.name
item	11521	isMap	false
item	11521	itemUseAction	none
item	11521	maxItemUseDuration	72000
item	11521	potionEffect	null
item	11521	isPotionIngredient	false
item	11521	itemDisplayName	
item	11521	isItemTool	true
item	11521	enchantability	5
item	11521	isRepairable	true
item	11521	isItemBlock	false
item	11522	id	11522
item	11522	gid	weaponmod/item.iron-spear
item	11522	itemStackLimit	1
item	11522	hasSubtypes	false
item	11522	maxDamage	250
item	11522	isDamageable	true
item	11522	localizedName	item.iron-spear
item	11522	unlocalizedName	item.iron-spear
item	11522	hasContainerItem	false
item	11522	statName	item.iron-spear.name
item	11522	isMap	false
item	11522	itemUseAction	none
item	11522	maxItemUseDuration	72000
item	11522	potionEffect	null
item	11522	isPotionIngredient	false
item	11522	itemDisplayName	
item	11522	isItemTool	true
item	11522	enchantability	14
item	11522	isRepairable	true
item	11522	isItemBlock	false
item	11523	id	11523
item	11523	gid	weaponmod/item.diamond-spear
item	11523	itemStackLimit	1
item	11523	hasSubtypes	false
item	11523	maxDamage	1561
item	11523	isDamageable	true
item	11523	localizedName	item.diamond-spear
item	11523	unlocalizedName	item.diamond-spear
item	11523	hasContainerItem	false
item	11523	statName	item.diamond-spear.name
item	11523	isMap	false
item	11523	itemUseAction	none
item	11523	maxItemUseDuration	72000
item	11523	potionEffect	null
item	11523	isPotionIngredient	false
item	11523	itemDisplayName	
item	11523	isItemTool	true
item	11523	enchantability	10
item	11523	isRepairable	true
item	11523	isItemBlock	false
item	11524	id	11524
item	11524	gid	weaponmod/item.gold-spear
item	11524	itemStackLimit	1
item	11524	hasSubtypes	false
item	11524	maxDamage	32
item	11524	isDamageable	true
item	11524	localizedName	item.gold-spear
item	11524	unlocalizedName	item.gold-spear
item	11524	hasContainerItem	false
item	11524	statName	item.gold-spear.name
item	11524	isMap	false
item	11524	itemUseAction	none
item	11524	maxItemUseDuration	72000
item	11524	potionEffect	null
item	11524	isPotionIngredient	false
item	11524	itemDisplayName	
item	11524	isItemTool	true
item	11524	enchantability	22
item	11524	isRepairable	true
item	11524	isItemBlock	false
item	11525	id	11525
item	11525	gid	weaponmod/item.wood-halberd
item	11525	itemStackLimit	1
item	11525	hasSubtypes	false
item	11525	maxDamage	59
item	11525	isDamageable	true
item	11525	localizedName	item.wood-halberd
item	11525	unlocalizedName	item.wood-halberd
item	11525	hasContainerItem	false
item	11525	statName	item.wood-halberd.name
item	11525	isMap	false
item	11525	itemUseAction	none
item	11525	maxItemUseDuration	72000
item	11525	potionEffect	null
item	11525	isPotionIngredient	false
item	11525	itemDisplayName	
item	11525	isItemTool	true
item	11525	enchantability	15
item	11525	isRepairable	true
item	11525	isItemBlock	false
item	11526	id	11526
item	11526	gid	weaponmod/item.stone-halberd
item	11526	itemStackLimit	1
item	11526	hasSubtypes	false
item	11526	maxDamage	131
item	11526	isDamageable	true
item	11526	localizedName	item.stone-halberd
item	11526	unlocalizedName	item.stone-halberd
item	11526	hasContainerItem	false
item	11526	statName	item.stone-halberd.name
item	11526	isMap	false
item	11526	itemUseAction	none
item	11526	maxItemUseDuration	72000
item	11526	potionEffect	null
item	11526	isPotionIngredient	false
item	11526	itemDisplayName	
item	11526	isItemTool	true
item	11526	enchantability	5
item	11526	isRepairable	true
item	11526	isItemBlock	false
item	11527	id	11527
item	11527	gid	weaponmod/item.iron-halberd
item	11527	itemStackLimit	1
item	11527	hasSubtypes	false
item	11527	maxDamage	250
item	11527	isDamageable	true
item	11527	localizedName	item.iron-halberd
item	11527	unlocalizedName	item.iron-halberd
item	11527	hasContainerItem	false
item	11527	statName	item.iron-halberd.name
item	11527	isMap	false
item	11527	itemUseAction	none
item	11527	maxItemUseDuration	72000
item	11527	potionEffect	null
item	11527	isPotionIngredient	false
item	11527	itemDisplayName	
item	11527	isItemTool	true
item	11527	enchantability	14
item	11527	isRepairable	true
item	11527	isItemBlock	false
item	11528	id	11528
item	11528	gid	weaponmod/item.diamond-halberd
item	11528	itemStackLimit	1
item	11528	hasSubtypes	false
item	11528	maxDamage	1561
item	11528	isDamageable	true
item	11528	localizedName	item.diamond-halberd
item	11528	unlocalizedName	item.diamond-halberd
item	11528	hasContainerItem	false
item	11528	statName	item.diamond-halberd.name
item	11528	isMap	false
item	11528	itemUseAction	none
item	11528	maxItemUseDuration	72000
item	11528	potionEffect	null
item	11528	isPotionIngredient	false
item	11528	itemDisplayName	
item	11528	isItemTool	true
item	11528	enchantability	10
item	11528	isRepairable	true
item	11528	isItemBlock	false
item	11529	id	11529
item	11529	gid	weaponmod/item.gold-halberd
item	11529	itemStackLimit	1
item	11529	hasSubtypes	false
item	11529	maxDamage	32
item	11529	isDamageable	true
item	11529	localizedName	item.gold-halberd
item	11529	unlocalizedName	item.gold-halberd
item	11529	hasContainerItem	false
item	11529	statName	item.gold-halberd.name
item	11529	isMap	false
item	11529	itemUseAction	none
item	11529	maxItemUseDuration	72000
item	11529	potionEffect	null
item	11529	isPotionIngredient	false
item	11529	itemDisplayName	
item	11529	isItemTool	true
item	11529	enchantability	22
item	11529	isRepairable	true
item	11529	isItemBlock	false
item	11530	id	11530
item	11530	gid	weaponmod/item.wood-battleaxe
item	11530	itemStackLimit	1
item	11530	hasSubtypes	false
item	11530	maxDamage	59
item	11530	isDamageable	true
item	11530	localizedName	item.wood-battleaxe
item	11530	unlocalizedName	item.wood-battleaxe
item	11530	hasContainerItem	false
item	11530	statName	item.wood-battleaxe.name
item	11530	isMap	false
item	11530	itemUseAction	block
item	11530	maxItemUseDuration	72000
item	11530	potionEffect	null
item	11530	isPotionIngredient	false
item	11530	itemDisplayName	
item	11530	isItemTool	true
item	11530	enchantability	15
item	11530	isRepairable	true
item	11530	isItemBlock	false
item	11531	id	11531
item	11531	gid	weaponmod/item.stone-battleaxe
item	11531	itemStackLimit	1
item	11531	hasSubtypes	false
item	11531	maxDamage	131
item	11531	isDamageable	true
item	11531	localizedName	item.stone-battleaxe
item	11531	unlocalizedName	item.stone-battleaxe
item	11531	hasContainerItem	false
item	11531	statName	item.stone-battleaxe.name
item	11531	isMap	false
item	11531	itemUseAction	block
item	11531	maxItemUseDuration	72000
item	11531	potionEffect	null
item	11531	isPotionIngredient	false
item	11531	itemDisplayName	
item	11531	isItemTool	true
item	11531	enchantability	5
item	11531	isRepairable	true
item	11531	isItemBlock	false
item	11532	id	11532
item	11532	gid	weaponmod/item.iron-battleaxe
item	11532	itemStackLimit	1
item	11532	hasSubtypes	false
item	11532	maxDamage	250
item	11532	isDamageable	true
item	11532	localizedName	item.iron-battleaxe
item	11532	unlocalizedName	item.iron-battleaxe
item	11532	hasContainerItem	false
item	11532	statName	item.iron-battleaxe.name
item	11532	isMap	false
item	11532	itemUseAction	block
item	11532	maxItemUseDuration	72000
item	11532	potionEffect	null
item	11532	isPotionIngredient	false
item	11532	itemDisplayName	
item	11532	isItemTool	true
item	11532	enchantability	14
item	11532	isRepairable	true
item	11532	isItemBlock	false
item	11533	id	11533
item	11533	gid	weaponmod/item.diamond-battleaxe
item	11533	itemStackLimit	1
item	11533	hasSubtypes	false
item	11533	maxDamage	1561
item	11533	isDamageable	true
item	11533	localizedName	item.diamond-battleaxe
item	11533	unlocalizedName	item.diamond-battleaxe
item	11533	hasContainerItem	false
item	11533	statName	item.diamond-battleaxe.name
item	11533	isMap	false
item	11533	itemUseAction	block
item	11533	maxItemUseDuration	72000
item	11533	potionEffect	null
item	11533	isPotionIngredient	false
item	11533	itemDisplayName	
item	11533	isItemTool	true
item	11533	enchantability	10
item	11533	isRepairable	true
item	11533	isItemBlock	false
item	11534	id	11534
item	11534	gid	weaponmod/item.gold-battleaxe
item	11534	itemStackLimit	1
item	11534	hasSubtypes	false
item	11534	maxDamage	32
item	11534	isDamageable	true
item	11534	localizedName	item.gold-battleaxe
item	11534	unlocalizedName	item.gold-battleaxe
item	11534	hasContainerItem	false
item	11534	statName	item.gold-battleaxe.name
item	11534	isMap	false
item	11534	itemUseAction	block
item	11534	maxItemUseDuration	72000
item	11534	potionEffect	null
item	11534	isPotionIngredient	false
item	11534	itemDisplayName	
item	11534	isItemTool	true
item	11534	enchantability	22
item	11534	isRepairable	true
item	11534	isItemBlock	false
item	11535	id	11535
item	11535	gid	weaponmod/item.wood-warhammer
item	11535	itemStackLimit	1
item	11535	hasSubtypes	false
item	11535	maxDamage	59
item	11535	isDamageable	true
item	11535	localizedName	item.wood-warhammer
item	11535	unlocalizedName	item.wood-warhammer
item	11535	hasContainerItem	false
item	11535	statName	item.wood-warhammer.name
item	11535	isMap	false
item	11535	itemUseAction	bow
item	11535	maxItemUseDuration	72000
item	11535	potionEffect	null
item	11535	isPotionIngredient	false
item	11535	itemDisplayName	
item	11535	isItemTool	true
item	11535	enchantability	15
item	11535	isRepairable	true
item	11535	isItemBlock	false
item	11536	id	11536
item	11536	gid	weaponmod/item.stone-warhammer
item	11536	itemStackLimit	1
item	11536	hasSubtypes	false
item	11536	maxDamage	131
item	11536	isDamageable	true
item	11536	localizedName	item.stone-warhammer
item	11536	unlocalizedName	item.stone-warhammer
item	11536	hasContainerItem	false
item	11536	statName	item.stone-warhammer.name
item	11536	isMap	false
item	11536	itemUseAction	bow
item	11536	maxItemUseDuration	72000
item	11536	potionEffect	null
item	11536	isPotionIngredient	false
item	11536	itemDisplayName	
item	11536	isItemTool	true
item	11536	enchantability	5
item	11536	isRepairable	true
item	11536	isItemBlock	false
item	11537	id	11537
item	11537	gid	weaponmod/item.iron-warhammer
item	11537	itemStackLimit	1
item	11537	hasSubtypes	false
item	11537	maxDamage	250
item	11537	isDamageable	true
item	11537	localizedName	item.iron-warhammer
item	11537	unlocalizedName	item.iron-warhammer
item	11537	hasContainerItem	false
item	11537	statName	item.iron-warhammer.name
item	11537	isMap	false
item	11537	itemUseAction	bow
item	11537	maxItemUseDuration	72000
item	11537	potionEffect	null
item	11537	isPotionIngredient	false
item	11537	itemDisplayName	
item	11537	isItemTool	true
item	11537	enchantability	14
item	11537	isRepairable	true
item	11537	isItemBlock	false
item	11538	id	11538
item	11538	gid	weaponmod/item.diamond-warhammer
item	11538	itemStackLimit	1
item	11538	hasSubtypes	false
item	11538	maxDamage	1561
item	11538	isDamageable	true
item	11538	localizedName	item.diamond-warhammer
item	11538	unlocalizedName	item.diamond-warhammer
item	11538	hasContainerItem	false
item	11538	statName	item.diamond-warhammer.name
item	11538	isMap	false
item	11538	itemUseAction	bow
item	11538	maxItemUseDuration	72000
item	11538	potionEffect	null
item	11538	isPotionIngredient	false
item	11538	itemDisplayName	
item	11538	isItemTool	true
item	11538	enchantability	10
item	11538	isRepairable	true
item	11538	isItemBlock	false
item	11539	id	11539
item	11539	gid	weaponmod/item.gold-warhammer
item	11539	itemStackLimit	1
item	11539	hasSubtypes	false
item	11539	maxDamage	32
item	11539	isDamageable	true
item	11539	localizedName	item.gold-warhammer
item	11539	unlocalizedName	item.gold-warhammer
item	11539	hasContainerItem	false
item	11539	statName	item.gold-warhammer.name
item	11539	isMap	false
item	11539	itemUseAction	bow
item	11539	maxItemUseDuration	72000
item	11539	potionEffect	null
item	11539	isPotionIngredient	false
item	11539	itemDisplayName	
item	11539	isItemTool	true
item	11539	enchantability	22
item	11539	isRepairable	true
item	11539	isItemBlock	false
item	11540	id	11540
item	11540	gid	weaponmod/item.wood-knife
item	11540	itemStackLimit	1
item	11540	hasSubtypes	false
item	11540	maxDamage	29
item	11540	isDamageable	true
item	11540	localizedName	item.wood-knife
item	11540	unlocalizedName	item.wood-knife
item	11540	hasContainerItem	false
item	11540	statName	item.wood-knife.name
item	11540	isMap	false
item	11540	itemUseAction	none
item	11540	maxItemUseDuration	72000
item	11540	potionEffect	null
item	11540	isPotionIngredient	false
item	11540	itemDisplayName	
item	11540	isItemTool	true
item	11540	enchantability	15
item	11540	isRepairable	true
item	11540	isItemBlock	false
item	11541	id	11541
item	11541	gid	weaponmod/item.stone-knife
item	11541	itemStackLimit	1
item	11541	hasSubtypes	false
item	11541	maxDamage	65
